amfi_code,fund_score,return_3yr,sharpe,alpha,expense_ratio,max_dd
148567,86.25,0.3400091602163293,1.4482911703262602,0.2698375144191807,1.46,-0.11265729075028275
120505,82.25,0.317775371512347,1.1801011976606504,0.2926358334175106,1.36,-0.18188513572116294
120843,82.0,0.2958277033726251,1.3067439695428396,0.27330465038306057,1.45,-0.1297396816518679
100033,80.75,0.32442459421956116,1.0936987435346315,0.2719535450128533,1.38,-0.16217208574644848
120504,80.0,0.3248742855621496,1.0265242847993,0.2119482701352573,0.8,-0.12588275606922517
119094,77.0,0.35111802096428524,0.998230986863641,0.2607666908004223,1.38,-0.20960883862039192
119551,74.8125,0.3045652442030289,1.208266567372718,0.23201007160635082,1.54,-0.1501238549864533
148569,73.6875,0.2917890157839378,1.2349300257743292,0.2827036785246582,1.6,-0.1639674294693263
101206,68.1875,0.2896769452874166,1.0272133278753695,0.21399784776051212,1.6,-0.11291596329323073
119598,67.375,0.2666992200118774,0.9453082575156095,0.3033696538698332,1.43,-0.2870600572176455
149323,66.75,0.268699908289022,1.1321218524747234,0.26598577542043045,1.61,-0.17248105753451382
149324,66.6875,0.27000426614519246,0.9497958246616044,0.3005787817097677,1.52,-0.31171900300634214
118632,66.5625,0.22652359830098634,1.081659179345704,0.21829397904608644,1.51,-0.17414075086657232
119552,66.0,0.16267372294624916,0.9532794968660104,0.1986859936686296,0.66,-0.11803493502764295
125497,59.25,0.18434488610520172,0.7757902498211205,0.17729754927531766,0.92,-0.15200013055606398
118635,59.0,0.20008208380471482,0.664856998549062,0.1513635464823924,0.89,-0.1165062450540909
118633,58.5625,0.2108997654925684,0.6452074382933215,0.15643835948169668,0.72,-0.18629743138595511
102885,55.0,0.1966726206830185,0.8170993373494367,0.17048756803412696,1.57,-0.1085986215250232
120503,53.625,0.13978381933703043,0.7979728586052847,0.17703302365844073,1.42,-0.13897862823061635
148568,53.4375,0.14748035533586012,0.9262873467360144,0.20873010086942337,1.52,-0.1527259422823477
120506,51.125,0.1842199653744454,0.6488787755249532,0.1625385327998104,1.41,-0.1982565826298267
120507,48.0,0.07394286300360076,0.4957233929533123,0.06746210411099539,0.74,-0.0009773140045925555
119093,47.625,0.20816771175535864,0.12961449795669328,0.08232801295222093,0.75,-0.21751396370148224
102887,46.1875,0.25556187904126526,0.6195175900829828,0.16211256794033255,1.64,-0.21539827112383225
149322,43.6875,0.18044206486636138,0.46403744922047774,0.13173190226099432,1.54,-0.14844576917771746
125498,42.125,0.11245222866621418,0.30061192104254786,0.11989100971217971,0.78,-0.21117279560132118
120844,41.125,0.06695971624586994,-0.08874729621557288,0.06455677495375998,0.6,-0.0011629327956168556
120841,39.375,0.1726727508371786,0.4942725378672349,0.13042924450705445,1.59,-0.1757361416468729
118634,38.3125,0.08007927728656083,0.44843400890899127,0.1750072167561127,1.53,-0.2334488614483311
118636,34.625,0.040622050237771434,-0.35662950751436784,0.05074772999976104,0.55,-0.08316361763638702
119120,33.75,0.05840358798463097,-0.22657538662791576,0.05620895216638369,0.77,-0.04328728923970093
101208,32.875,0.06315784491375509,-0.8155673679088263,0.060861457957871144,0.79,-0.0016224980244717857
100025,31.875,0.039163899571040384,-0.5670947928476846,0.042817920315060876,0.56,-0.04308263824636349
120842,27.625,0.07756003551327284,0.07599984804658923,0.0780443887615508,1.56,-0.24003511326274884
119599,23.9375,-0.01337386614488112,-0.05718662582817995,0.048824215945539845,0.72,-0.5257422117012851
119092,22.5625,0.005258871209757432,0.03078485095458594,0.0689952982167755,1.64,-0.1440161790933726
101207,22.0625,-0.04152381044854481,0.16266076928646772,0.10897091901704538,1.53,-0.3544691649336603
119095,17.25,-0.11705806723995271,-0.0759735711747892,0.04801595363775955,1.38,-0.5167775370852656
100016,14.375,0.01292649342495622,-0.20151706755966936,0.03747580763443281,1.55,-0.24734440880673303
102886,14.3125,-0.007674063178547241,-0.20583160785470309,0.02896939786637944,1.51,-0.2800112356639287
